Start (CT)	Away	Home	Pick	WinProb	Confidence	Model	Predicted_Score	Projected_Total_Runs
2026-03-12 08:05 PM	Brewers	Guardians	Guardians	0.511	Too-Uncertain	QT	Brewers 5 — Guardians 5	9.16
2026-03-12 08:05 PM	Reds	Dodgers	Dodgers	0.511	Too-Uncertain	QT	Reds 4 — Dodgers 5	9.02
2026-03-12 08:05 PM	White Sox	Giants	Giants	0.511	Too-Uncertain	QT	White Sox 4 — Giants 5	9.1
2026-03-12 08:10 PM	Royals	Padres	Padres	0.511	Too-Uncertain	QT	Royals 5 — Padres 5	9.26
2026-03-13 03:05 PM	Padres	Athletics	Athletics	0.511	Too-Uncertain	QT	Padres 4 — Athletics 5	9.02
2026-03-13 03:05 PM	Cubs	White Sox	White Sox	0.511	Too-Uncertain	QT	Cubs 5 — White Sox 5	9.2
2026-03-13 03:10 PM	Rangers	Rockies	Rockies	0.511	Too-Uncertain	QT	Rangers 5 — Rockies 5	9.18
2026-03-13 03:10 PM	Guardians	Angels	Angels	0.511	Too-Uncertain	QT	Guardians 4 — Angels 5	9.08
2026-03-13 03:10 PM	Athletics	Brewers	Brewers	0.511	Too-Uncertain	QT	Athletics 4 — Brewers 5	9.15
2026-03-13 05:05 PM	Pirates	Tigers	Tigers	0.511	Too-Uncertain	QT	Pirates 5 — Tigers 5	9.2
2026-03-13 05:05 PM	Astros	Cardinals	Cardinals	0.511	Too-Uncertain	QT	Astros 5 — Cardinals 5	9.1
2026-03-13 05:05 PM	Mets	Nationals	Nationals	0.511	Too-Uncertain	QT	Mets 5 — Nationals 5	9.17
2026-03-13 05:10 PM	Marlins	Mets	Mets	0.511	Too-Uncertain	QT	Marlins 5 — Mets 5	9.14
2026-03-13 06:05 PM	Reds	Giants	Giants	0.511	Too-Uncertain	QT	Reds 4 — Giants 5	9.09
2026-03-13 12:05 PM	Yankees	Braves	Braves	0.511	Too-Uncertain	QT	Yankees 5 — Braves 5	9.17
2026-03-13 12:05 PM	Rays	Red Sox	Red Sox	0.511	Too-Uncertain	QT	Rays 4 — Red Sox 5	9.16
2026-03-13 12:05 PM	Orioles	Phillies	Phillies	0.511	Too-Uncertain	QT	Orioles 5 — Phillies 5	9.23
2026-03-13 12:07 PM	Twins	Blue Jays	Blue Jays	0.511	Too-Uncertain	QT	Twins 5 — Blue Jays 5	9.12
